Colour,Function,Used as,Used in,Concept
#fff,body-background,background-color,.govuk-notification-banner__content,notification-banner__content
#fd0,focus,background-color,.govuk-notification-banner__link:focus,notification-banner__link
#fd0,focus,box-shadow,.govuk-notification-banner__link:focus,notification-banner__link
#0b0c0c,focus-text,box-shadow,.govuk-notification-banner__link:focus,notification-banner__link
#1a65a6,link,color,".govuk-notification-banner__link:link,
.govuk-notification-banner__link:visited",notification-banner__link
#0f385c,link-hover,color,.govuk-notification-banner__link:hover,notification-banner__link
#0b0c0c,link-active,color,.govuk-notification-banner__link:active,notification-banner__link
#0b0c0c,focus-text,color,.govuk-notification-banner__link:focus,notification-banner__link
#0f7a52,success,border-color,.govuk-notification-banner--success,notification-banner--success
#0f7a52,success,background-color,.govuk-notification-banner--success,notification-banner--success
#0f7a52,success,color,".govuk-notification-banner--success .govuk-notification-banner__link:link,
.govuk-notification-banner--success .govuk-notification-banner__link:visited",notification-banner--success
#083d29,,color,.govuk-notification-banner--success .govuk-notification-banner__link:hover,notification-banner--success
#0f7a52,success,color,.govuk-notification-banner--success .govuk-notification-banner__link:active,notification-banner--success
#0b0c0c,focus-text,color,.govuk-notification-banner--success .govuk-notification-banner__link:focus,notification-banner--success
#f3f3f3,,background-color,".govuk-pagination__item:hover,
.govuk-pagination__next:hover,
.govuk-pagination__prev:hover",pagination__item
#1a65a6,link,background-color,".govuk-pagination__item--current,
.govuk-pagination__item--current:hover","pagination__item--current,"
#fff,,color,".govuk-pagination__item--current .govuk-pagination__link:link,
.govuk-pagination__item--current .govuk-pagination__link:visited",pagination__item--current
#0b0c0c,focus-text,color,.govuk-pagination__item--current .govuk-pagination__link:focus,pagination__item--current
#484949,secondary-text,color,.govuk-pagination__item--ellipsis,pagination__item--ellipsis
#0b0c0c,focus-text,color,.govuk-pagination__link:focus .govuk-pagination__icon,pagination__link
#484949,secondary-text,color,.govuk-pagination__icon,pagination__icon
#cecece,border,border-top-color,.govuk-pagination--block .govuk-pagination__prev+.govuk-pagination__next,pagination--block
#fff,,color,.govuk-panel--confirmation,panel--confirmation
#0f7a52,,background,.govuk-panel--confirmation,panel--confirmation
#0b0c0c,text,color,.govuk-panel--confirmation,panel--confirmation
#0f385c,,color,.govuk-tag,tag
#d2e2f1,,background-color,.govuk-tag,tag
#083d29,,color,.govuk-tag--green,tag--green
#cfe4dc,,background-color,.govuk-tag--green,tag--green
#2a1950,,color,.govuk-tag--purple,tag--purple
#ddd6ec,,background-color,.govuk-tag--purple,tag--purple
#651b1b,,color,.govuk-tag--red,tag--red
#f4d7d7,,background-color,.govuk-tag--red,tag--red
#7a3c1c,,color,.govuk-tag--orange,tag--orange
#fde4d7,,background-color,.govuk-tag--orange,tag--orange
#0b4144,,color,.govuk-tag--teal,tag--teal
#d0e6e7,,background-color,.govuk-tag--teal,tag--teal
#651b3e,,color,.govuk-tag--magenta,tag--magenta
#f4d7e5,,background-color,.govuk-tag--magenta,tag--magenta
#7a3c1c,,color,.govuk-tag--yellow,tag--yellow
#ffee80,,background-color,.govuk-tag--yellow,tag--yellow
#0b0c0c,,color,.govuk-tag--grey,tag--grey
#cecece,,background-color,.govuk-tag--grey,tag--grey
#0b4144,,color,.govuk-tag--turquoise,tag--turquoise
#d0e6e7,,background-color,.govuk-tag--turquoise,tag--turquoise
#651b3e,,color,.govuk-tag--pink,tag--pink
#f4d7e5,,background-color,.govuk-tag--pink,tag--pink
#cecece,border,border-bottom-color,.govuk-phase-banner,phase-banner
#0b0c0c,text,color,.govuk-phase-banner__content,phase-banner__content
#fd0,focus,box-shadow,.govuk-radios__input:focus+.govuk-radios__label:before,radios__input
#0b0c0c,text,color,.govuk-radios__divider,radios__divider
#cecece,border,border-left-color,.govuk-radios__conditional,radios__conditional
#cecece,hover,box-shadow,.govuk-radios--small .govuk-radios__input:not(:disabled):hover+.govuk-radios__label:before,radios--small
#fd0,focus,box-shadow,.govuk-radios--small .govuk-radios__input:focus:hover+.govuk-radios__label:before,radios--small
#cecece,hover,box-shadow,.govuk-radios--small .govuk-radios__input:focus:hover+.govuk-radios__label:before,radios--small
#fd0,focus,box-shadow,.govuk-radios--small .govuk-radios__input:focus:hover+.govuk-radios__label:before,radios--small
#0b0c0c,input-border,border-color,.govuk-select,select
#0b0c0c,text,color,.govuk-select,select
#fff,,background-color,.govuk-select,select
#fd0,focus,outline-color,.govuk-select:focus,select
#0b0c0c,input-border,box-shadow,.govuk-select:focus,select
#fff,,color,".govuk-select option:active,
.govuk-select option:checked,
.govuk-select:focus::-ms-value",select
#1d70b8,,background-color,".govuk-select option:active,
.govuk-select option:checked,
.govuk-select:focus::-ms-value",select
#ca3535,error,border-color,.govuk-select--error,select--error
#0b0c0c,input-border,border-color,.govuk-select--error:focus,select--error
#8eb8dc,surface-border,border-bottom,.govuk-service-navigation,service-navigation
#0b0c0c,surface-text,color,.govuk-service-navigation,service-navigation
#f4f8fb,surface-background,background-color,.govuk-service-navigation,service-navigation
#1a65a6,link,border-color,".govuk-service-navigation__item,
.govuk-service-navigation__service-name","service-navigation__item,"
#fd0,focus,background-color,.govuk-service-navigation__link:focus,service-navigation__link
#fd0,focus,box-shadow,.govuk-service-navigation__link:focus,service-navigation__link
#0b0c0c,focus-text,box-shadow,.govuk-service-navigation__link:focus,service-navigation__link
#1a65a6,link,color,".govuk-service-navigation__link:link,
.govuk-service-navigation__link:visited",service-navigation__link
#0f385c,link-hover,color,.govuk-service-navigation__link:hover,service-navigation__link
#0b0c0c,link-active,color,.govuk-service-navigation__link:active,service-navigation__link
#0b0c0c,focus-text,color,.govuk-service-navigation__link:focus,service-navigation__link
#0b0c0c,text,color,".govuk-service-navigation__service-name .govuk-service-navigation__link:active,
.govuk-service-navigation__service-name .govuk-service-navigation__link:link,
.govuk-service-navigation__service-name .govuk-service-navigation__link:visited",service-navigation__service-name
